index,category,output_path,original_name,original_size,output_size,has_alpha,alpha_min,alpha_max,source_sha256
1,HUD,HUD/001_top_status_bar_blank.png,input_001.png,2508x627,2288x420,True,0,255,807468b0730970f48bd6de1cd5036c178dc783a759952f7c99c1501774706b22
2,Buttons,Buttons/002_top_button_sound.png,input_002.png,1254x1254,825x946,True,0,255,eb7e593532fc8cd00c5125f778559c6e9bfa73269d4c623612b2b56040ca78a7
3,Buttons,Buttons/003_top_button_community.png,input_003.png,1254x1254,682x773,True,0,255,1c6e5d1682c155ce4adc32f11e248f4803788c1307bf85f99d2e88298b2bfc40
4,Buttons,Buttons/004_top_button_notice.png,input_004.png,1254x1254,762x818,True,0,255,8666f3b72f5994ef14f0c0ca0d3a32bb87cd4a3d1dab0b3341464e224c4b233f
5,Buttons,Buttons/005_menu_quick_start_yellow.png,input_005.png,2172x724,1959x520,True,0,255,1adb5f9dff5554890f488f53bf5e30fd2766c5ed652075727b5e0337baa8964a
6,Buttons,Buttons/006_menu_custom_game_blue.png,input_006.png,2172x724,1895x476,True,0,255,8423c103d25ba5c38d46771c0d3e6aa0d801051f2a4c4024b6f91e7ed369fc55
7,Buttons,Buttons/007_menu_tutorial_mint.png,input_007.png,2172x724,1928x460,True,0,255,79cee87296ae763f91b2d3aca1b3d643a7811f589d5fe555eeadb60d5ebe7649
8,HUD,HUD/008_mission_card_blank_stamp.png,input_008.png,1448x1086,1233x847,True,0,255,e1eb3feac6173672e561485182ecf98e37095b22e5ae4e5851d5d2cbf2cbdcf4
9,MainMenu,MainMenu/009_player_profile_card_blue.png,input_009.png,2172x724,1663x576,True,0,255,40f374a4ab84d21ee7fcd5bc1b63175aab3a9b0b107837212996f3e7a6211d9d
10,HUD,HUD/010_stamina_bar_full.png,input_010.png,2508x627,2247x328,True,0,255,070e602807ac4c553f3d918e23fe94ac9b9c4c0948ffcc577b0cb73845c5aa9d
